,iteration,duration_seconds,train_log_likelihood,train_accuracy,train_precision,train_recall,train_f1score,validation_log_likelihood,validation_accuracy,validation_precision,validation_recall,validation_f1score,test_log_likelihood,test_accuracy,test_precision,test_recall,test_f1score
0,0.0,0.7628374099731445,-2.3694941997528076,0.11882396414875984,0.11075005200563115,0.10645436708511287,0.10855472023013044,-2.363983949025472,0.1218532423178355,0.1124777899512696,0.11047096690494529,0.11146069661317638,-2.3680927753448486,0.12084871158003807,0.11290158809587804,0.1114524658616198,0.11217136294530888
1,100.0,26.4300377368927,-1.6901891231536865,0.4300368055701256,0.39578186835991513,0.14922028483198663,0.21664976428332614,-1.7132415374120076,0.4232300321261088,0.385577121360589,0.14788601124845333,0.21369865009800493,-1.7108555436134338,0.4238728731870651,0.37816730392997994,0.14806845522166,0.2128118899466603
2,200.0,51.87863039970398,-1.5405667126178741,0.4770186319947243,0.413259925182462,0.2167039814291575,0.2840749135468928,-1.6196072896321614,0.4539513786633809,0.3731631001734083,0.20480624470509476,0.26440892902907076,-1.61891508102417,0.45405198633670807,0.3653227566736448,0.2000236855912132,0.2585067154784771
3,300.0,77.31760764122009,-1.527427852153778,0.4822741821408272,0.4141726695963081,0.22399959513680995,0.29051208238804377,-1.6172247727711995,0.45657721161842346,0.3704824281820942,0.21044448541439476,0.268407887990086,-1.6175574660301208,0.45611438155174255,0.36725455479716906,0.20566034727749705,0.2636586459224759
4,400.0,102.85001063346863,-1.5249067544937134,0.4835900813341141,0.41902399531490125,0.2252485151928288,0.29276302771096674,-1.6173973480860393,0.4571949243545532,0.37345333261727864,0.21040943083090402,0.2691264110736083,-1.617721676826477,0.457169771194458,0.3667751518399237,0.20596342854046645,0.2637440896736721
5,500.0,128.3922791481018,-1.5245970785617828,0.4840021952986717,0.41654381490064163,0.22463794695404332,0.29178130533209656,-1.6171951691309612,0.45796870191891986,0.3735058055818643,0.2112523318909151,0.26982876343996903,-1.6166921854019165,0.45816364884376526,0.3668626216311561,0.20676223150182393,0.2643508839926073
6,600.0,154.52797746658325,-1.5246812999248505,0.4840634763240814,0.414732947624584,0.22470232807448418,0.29133486899099836,-1.6173972686131795,0.4573909242947896,0.3724083054011746,0.2109811845949581,0.2693295692709759,-1.616699457168579,0.45744170248508453,0.36341306179141003,0.2042863476297062,0.261544095446957
7,700.0,181.1185483932495,-1.5241446197032928,0.4847126975655556,0.4196600753864759,0.22532982694084613,0.2929319743883992,-1.6170690457026164,0.45774396260579425,0.37966011783996706,0.21105214366282565,0.27125355813610824,-1.6167750358581543,0.4571676105260849,0.37330759459907115,0.20535090849751048,0.26493534131381735
8,800.0,207.34334874153137,-1.5239411890506744,0.4839254692196846,0.4128132079413502,0.22639607233020903,0.2921303005777517,-1.616845965385437,0.457123468319575,0.37326270919084475,0.2125478757956967,0.270810590180027,-1.6162632703781128,0.4569980353116989,0.3665017403669282,0.20736643233953278,0.26483879843343794
9,900.0,233.33138751983643,-1.5242100954055786,0.4845680966973305,0.414883276587028,0.22657486128488144,0.292853593741621,-1.616883913675944,0.45717058579126996,0.3741481881633806,0.2125525816581438,0.27103307866256743,-1.6172068119049072,0.45751018822193146,0.3721940322391869,0.20927077029273639,0.26787285434460795
