,0,1,2,3,4,5,6,7,8,9
173_town,-0.15751706,1.0868036,-0.81469715,-0.62871325,-1.0186455,-3.087787,1.3501891,0.14376089,-0.7231889,-0.21059535
174_city,0.36334696,-0.2437545,1.0306939,-0.8604831,-1.0969774,-0.40330765,0.15896142,-0.7211308,-0.41163012,0.55897593
174_rural,0.9450999,0.57306325,-1.1237396,-0.09780248,-0.77256805,0.2699855,0.6000683,0.07642649,-1.1871084,-1.205205
174_town,0.0032785977,1.3390985,-0.78137547,-0.17696835,-0.63091785,-0.93977433,-0.539115,-0.6234638,-0.15672389,-0.051718976
176_city,0.46260458,-0.2548584,0.5271775,0.35081246,-0.88166106,0.6640378,-0.14530057,0.10898484,-0.9903268,0.5452085
176_rural,-0.36772484,0.06497485,-0.43257365,0.57420796,-0.6303939,-0.5354712,0.9030919,-0.30704933,-1.809838,-0.5950844
176_town,-0.10100355,0.9931746,-1.4637513,0.36793408,-0.93221337,-0.55917907,0.15877666,-0.12305811,-1.2775462,-0.42439112
177_city,1.8080122,-0.56502974,1.5459617,-0.24423113,0.41747338,3.974066,-1.4749664,0.27833635,0.73249,3.6347737
177_rural,0.9864611,0.27928293,-0.70098215,-0.55221033,0.5747161,3.453314,-1.1285838,0.22199258,-0.95212615,0.62155384
177_town,0.30957365,0.4565413,-1.0727658,-0.29932773,-0.48074853,1.1441766,-1.1134949,-0.8527781,0.5569918,0.49538648
178_city,0.4037178,1.0997397,2.0886104,-1.2750626,-0.19559738,-2.1360638,0.5078787,0.35492724,-0.6350588,2.7546003
178_rural,0.22187802,0.75552213,-1.1294482,-0.59638757,-0.40329945,-1.4017222,1.0980763,0.55093944,-1.2736964,0.6840424
178_town,-0.700611,0.8841973,-0.38392186,-0.1236095,-0.77209234,-3.3213034,0.79246163,-0.024427976,-1.539758,0.0003933057
183_city,-0.05774683,-0.029316977,0.08375944,-0.50002265,-0.94859535,-1.0665343,1.0153483,-0.023080338,-1.4316636,-0.07866156
183_rural,-1.4773895,0.70754194,-3.9199374,0.86120147,-2.474289,-4.3130617,2.8338866,-1.3612069,-2.5689309,-3.1462727
183_town,-0.4493088,0.70728695,-2.169286,-0.92513853,-1.6229025,-3.402595,1.3211344,-1.0335709,-1.241967,-0.60067546
185_city,-0.864798,-1.0391194,0.80544263,-0.42557257,-0.2668791,-1.743123,0.92557514,-0.366241,-0.61438036,-0.779175
185_rural,-0.38338965,-0.98051006,-0.64994663,-0.16092882,-0.32011178,-0.28699034,1.2170538,-0.049039938,-0.8117303,-0.5907585
185_town,-0.7920291,0.31896946,-1.5063701,-0.16639268,0.29378814,-1.2507542,-0.075558476,-0.34853843,0.54371536,0.06681926
186_city,0.60957056,-0.50472057,0.24972872,0.11051431,-0.59869516,1.0158936,0.033903625,-0.3861343,0.19444638,0.7855228
186_rural,0.6555887,-0.057262912,-1.7568027,-0.96553206,-0.45749596,1.6213241,0.111068375,-0.038929876,-0.14595209,-0.6894297
186_town,-0.13193555,0.59767663,-2.593202,0.6572509,-0.9982392,-0.7142368,0.6900209,-1.0489192,-0.236409,-0.7372622
187_city,0.36511943,-0.020983757,-0.95963556,-0.4101461,-1.2606305,-0.48462352,0.89332265,-0.28573516,-0.9913075,0.014189513
187_town,-0.47475132,1.1206304,-2.348685,0.35557047,-1.4130683,-2.45801,1.252912,-0.566753,-1.4038844,-1.4238375
188_city,-0.38276666,-0.98708653,0.0044139326,0.07148932,-1.0980936,-1.5419775,1.4076896,-0.5408974,-0.8374954,-0.3423665
188_rural,0.050258633,0.23970713,-1.477394,-0.6068208,-0.18093559,-1.4694057,1.5821913,0.21941876,-0.821855,-1.8266219
188_town,-1.2478106,-0.12829109,-1.3618797,-0.3020116,0.05916196,-1.7578645,0.3250828,-0.6131881,0.013628397,-0.60707414
189_city,-0.3850045,-0.18746474,-0.9658244,-0.057180956,-1.3783784,-2.7162848,1.3173914,-0.64468396,-1.178686,-0.62987745
189_rural,0.30536154,-0.16970246,-2.285802,-0.6311868,-0.3629141,0.57192266,0.36395946,-0.21606831,-0.9434584,-0.56836206
189_town,-0.35042652,0.359762,-1.5786911,-0.24682756,-0.039973915,0.091053955,-0.6006037,0.07141665,-0.17638557,-0.023554757
18_city,0.79034233,-1.1023618,0.5323759,-0.31590727,0.5594382,2.0572157,-0.24515936,0.78239334,-0.49160418,2.6138604
18_rural,0.36085027,-0.24680264,-0.47675204,-0.1787256,0.4866108,0.7326008,0.59928405,0.6204745,-1.4518683,0.60815555
18_town,0.26379016,0.44079596,-0.9632299,0.42328057,0.2588202,0.22255059,-0.6668932,0.48782843,-0.60427517,1.3600224
193_city,0.11973443,-0.93934083,-1.860604,-0.7912153,-0.1301679,-0.08016322,0.4679903,-1.6588465,0.31407204,0.3425307
193_town,1.0150601,1.106422,9.516835,-1.0456012,2.767298,-0.22877087,-3.197951,3.472037,1.3055574,5.2909255
194_city,-0.22133799,-0.2824471,0.17827521,-0.027992133,-1.0562749,-1.48291,1.2688751,-0.571465,-1.2647687,-0.2610015
194_rural,0.6417784,-0.37287286,-0.14169247,-0.3129013,0.9759547,1.9791434,-0.22256546,0.58058167,0.1749087,1.021784
194_town,-0.23894806,0.6681858,-0.94072074,0.23221688,-0.05846476,-0.19079223,-0.4679866,0.2923049,-0.65485847,0.37331396
195_city,-0.2976725,0.13116544,1.5263388,-0.45416075,0.19748701,-1.1661581,-0.026789257,0.30276364,-0.29047576,1.6683142
195_rural,-0.3310953,0.456975,-2.0329,0.516027,-0.71942955,-0.98800063,1.5942,-0.44580585,-1.7200991,-0.9532416
195_town,-0.5432788,0.79911906,-1.1919711,-0.082470715,-0.19679734,-2.1644638,0.13864602,-0.1269705,-0.6035657,-0.30978718
198_city,-1.2570366,1.4302657,-3.0707648,1.0228952,-2.4848766,-5.948764,2.325116,-0.98720086,-2.4531431,-3.7245657
